p-value_TI-CT-PPHE vs TI-CT-CH-TPP,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH-TPP,Protein,Gene,p-value_TI-CT-PPHE vs TI-CT-CH,Log (Fold Change)_TI-CT-PPHE vs TI-CT-CH,p-value_TI-CT-PPHE vs TI-CT,Log (Fold Change)_TI-CT-PPHE vs TI-CT,p-value_TI-CT-PPHE vs TI-PPHE,Log (Fold Change)_TI-CT-PPHE vs TI-PPHE,p-value_TI-CT-PPHE vs TI-P4000,Log (Fold Change)_TI-CT-PPHE vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-CT-CH,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT-CH,p-value_TI-CT-CH-TPP vs TI-CT,Log (Fold Change)_TI-CT-CH-TPP vs TI-CT,p-value_TI-CT-CH-TPP vs TI-P4000,Log (Fold Change)_TI-CT-CH-TPP vs TI-P4000,p-value_TI-CT-CH-TPP vs TI-PPHE,Log (Fold Change)_TI-CT-CH-TPP vs TI-PPHE,p-value_TI-CT-CH vs TI-CT,Log (Fold Change)_TI-CT-CH vs TI-CT,p-value_TI-CT-CH vs TI-PPHE,Log (Fold Change)_TI-CT-CH vs TI-PPHE,p-value_TI-CT-CH vs TI-P4000,Log (Fold Change)_TI-CT-CH vs TI-P4000,p-value_TI-CT vs TI-PPHE,Log (Fold Change)_TI-CT vs TI-PPHE,p-value_TI-PPHE vs TI-P4000,Log (Fold Change)_TI-PPHE vs TI-P4000,p-value_TI-CT vs TI-P4000,Log (Fold Change)_TI-CT vs TI-P4000
0.07328,0.0677622374876668,P61223,RAP1B,0.56008,-0.0205107302775566,0.35153,-0.0365079838091029,0.20137,-0.0524012071759492,0.87913,-0.00416050614990938,0.02308,-0.0882729677652234,0.02154,-0.10427022129677,0.00345,-0.0719227436375762,0.01327,-0.120163444663616,0.64464,-0.0159972535315463,0.37321,-0.0318904768983926,0.50758,0.0163502241276473,0.66374,-0.0158932233668463,0.13705,0.0482407010260398,0.28278,0.0323474776591935
0.07565,-0.320944699898869,Q95M17,CHIA,0.18633,0.0714893139744519,0.78806,0.0147412335396803,0.2131,-0.0517629338536292,0.74441,0.0207490154743702,0.05242,0.39243401387332,0.07081,0.335685933438549,0.07052,0.341693715373239,0.10029,0.269181766045239,0.32379,-0.0567480804347716,0.01661,-0.123252247828081,0.44516,-0.0507402985000817,0.17316,-0.0665041673933095,0.21273,0.0725119493279994,0.92943,0.00600778193468985
0.07864,-0.0262647883126272,Q3MHN5,VTDB,0.09154,0.0424708548946585,0.31531,0.0143838307579198,0.46411,-0.0107354358105996,0.21232,0.0227546500677367,0.02057,0.0687356432072857,0.02751,0.0406486190705469,0.02922,0.0490194383803639,0.28935,0.0155293525020275,0.23221,-0.0280870241367388,0.05765,-0.0532062907052581,0.42317,-0.0197162048269219,0.14815,-0.0251192665685194,0.11327,0.0334900858783363,0.63091,0.00837081930981689
0.08243,0.152242933696248,Q2HJ57,COTL1,0.95592,-0.00259289965583027,0.3461,0.0519784462399657,0.58692,-0.0192888337533907,0.7537,0.0181657261746254,0.07079,-0.154835833352078,0.22205,-0.100264487456282,0.14379,-0.134077207521623,0.03033,-0.171531767449639,0.29948,0.054571345895796,0.59586,-0.0166959340975604,0.70809,0.0207586258304557,0.09993,-0.0712672799933564,0.41839,0.0374545599280161,0.58213,-0.0338127200653403
0.08858,-0.433421445882644,Q5E9F7,COF1,0.46996,0.05045486050148,0.56534,-0.0493477219137579,0.00162,-0.320732933339257,0.39367,-0.0510958380892166,0.07314,0.483876306384124,0.10629,0.384073723968886,0.10274,0.382325607793427,0.4581,0.112688512543386,0.19527,-0.099802582415238,9.0883e-05,-0.371187793840737,0.0066,-0.101550698590697,0.00322,-0.271385211425499,9.9444e-05,0.269637095250041,0.97609,-0.00174811617545866
0.09015,-0.0723899037461896,P81187,CFAB,0.9936,0.00015936423178079,0.70676,-0.00895609025808036,0.0867,-0.0397070824344485,0.75909,0.00658474536616873,0.08978,0.0725492679779704,0.13668,0.0634338134881093,0.07735,0.0789746491123584,0.35131,0.0326828213117411,0.70219,-0.00911545448986107,0.08616,-0.0398664466662293,0.76497,0.00642538113438801,0.21656,-0.0307509921763682,0.07082,0.0462918278006173,0.54269,0.0155408356242491
0.09301,-0.171697148197236,Q9TT36,THBG,0.70119,0.0166982660443453,0.62245,-0.0278717108196775,0.1569,-0.0782572851351351,0.22069,-0.0519649908892052,0.07761,0.188395414241581,0.15198,0.143825437377558,0.17897,0.119732157308031,0.28195,0.0934398630621008,0.45399,-0.0445699768640228,0.1097,-0.0949555511794805,0.13848,-0.0686632569335505,0.4091,-0.0503855743154576,0.5631,0.02629229424593,0.64635,-0.0240932800695277
0.09592,-0.0414291711382662,Q2KJF1,A1BG,0.85497,-0.00421860624488486,0.85935,0.00299609543731529,0.26453,-0.0235796698345723,0.38141,-0.019197877314114,0.14624,0.0372105648933813,0.04289,0.0444252665755815,0.29961,0.0222312938241522,0.36266,0.0178495013036939,0.70827,0.00721470168220019,0.38587,-0.0193610635896874,0.51796,-0.0149792710692291,0.12612,-0.0265757652718876,0.81739,0.00438179252045832,0.22512,-0.0221939727514293
0.10372,-0.199350380384803,Q3T052,ITIH4,0.62345,-0.0127968556567425,0.81997,-0.00818106781924362,0.08533,-0.0471408976763464,0.19674,-0.036359093584093,0.11541,0.18655352472806,0.11529,0.191169312565559,0.14678,0.16299128680071,0.16341,0.152209482708456,0.88593,0.00461578783749889,0.09331,-0.0343440420196039,0.28201,-0.0235622379273505,0.22485,-0.0389598298571028,0.52042,0.0107818040922534,0.39262,-0.0281780257648494
0.1075,-0.163927427352421,P34955,A1AT,0.86357,0.00631791435424357,0.34533,0.0272109818406136,0.27983,-0.0220159389540843,0.84063,0.00756045543889466,0.11095,0.170245341706665,0.08252,0.191138409193035,0.11003,0.171487882791316,0.14099,0.141911488398337,0.62811,0.02089306748637,0.45017,-0.0283338533083278,0.97992,0.00124254108465108,0.12237,-0.0492269207946979,0.44105,0.0295763943929789,0.65364,-0.0196505264017189
0.11911,0.0635324147585436,P63258,ACTG,0.38237,0.0256863242583607,0.69161,0.0159032931535718,0.54631,-0.0148641102335557,0.9503,-0.00206377656255647,0.20302,-0.0378460905001829,0.27723,-0.0476291216049718,0.10104,-0.0655961913211001,0.01941,-0.0783965249920993,0.77746,-0.0097830311047889,0.02743,-0.0405504344919164,0.3265,-0.0277501008209172,0.34664,-0.0307674033871275,0.57768,0.0128003336709992,0.64667,-0.0179670697161283
