Protein,Gene,p-value_PPHE vs CT,Fold Change_PPHE vs CT,p-value_PPHE vs TP,Fold Change_PPHE vs TP
P21333,FLNA,0.15081,0.359426267500095,0.04163,0.413926324060102
P49207,RL34,0.33067,0.35905287249524,0.73935,0.718453478192291
P60660,MYL6,0.02047,0.356269284950218,0.08482,0.31349194226447
Q6EEV6,SUMO4,0.27359,0.344147616329026,0.64785,0.502193276939836
O43852,CALU,0.45354,0.338417854572661,0.02733,0.524567286917234
P02545,LMNA,0.3553,0.321043774867603,0.25523,0.321778240803282
P62081,RS7,0.00553,0.307418226210794,0.37289,0.306470458634823
P09601,HMOX1,0.12801,0.305583475438645,0.03786,0.260088499628526
P37802,TAGL2,0.35828,0.298713392233893,0.0644,0.125484493094792
P60866,RS20,0.15832,0.290012501505916,0.17817,0.403571193749071
P05109,S10A8,0.09124,0.284225816799754,0.19084,0.17056001598243
Q15084,PDIA6,0.00373,0.281765824670911,0.15835,0.133239355775133
P10809,CH60,0.2588,0.278914831362497,0.01816,0.317912553638157
P62424,RL7A,0.29032,0.276404031322317,0.27665,0.184184173561685
P62753,RS6,0.23673,0.272387353797553,0.3026,0.398924969598782
P07237,PDIA1,0.00068,0.265276116868013,0.00031,0.261929925045454
Q9H299,SH3L3,0.09857,0.260063508861585,0.73067,1.24976626748401
Q16658,FSCN1,0.14882,0.254104752006488,0.28047,0.54416615013796
P26038,MOES,0.09816,0.248602703654683,0.14008,0.182189087523091
P63241,IF5A1,0.00529,0.248057312824891,0.27651,0.0547102545805069
P05141,ADT2,0.40478,0.240666464527814,0.08191,0.288077683341891
O60506,HNRPQ,0.09381,0.237956413378166,0.05549,0.157445528215632
Q6ZMT4-2,KDM7A,0.00124,0.23440623700354,0.00014,0.146451183706479
P51149,RAB7A,0.34454,0.222795935996817,0.93226,0.945871561353894
Q14103,HNRPD,0.29882,0.22272673561134,0.06052,0.307951041705584
Q96AY3,FKB10,0.07681,0.207124799333096,0.33342,0.0988843554523833
P07900,HS90A,0.15435,0.200603599289289,0.02621,0.120462065626559
P19338,NUCL,0.00201,0.198817023019049,0.0202,0.0988070443205198
P67809,YBOX1,0.00153,0.198689544941462,0.00679,50.0
P26641,EF1G,0.0107,0.194137821233134,0.14049,0.258173141209894
P61353,RL27,0.10843,0.192814000734729,0.06855,0.183399128487276
P15880,RS2,0.04248,0.188814454276979,0.0233,0.411979948147797
P01023,A2MG,0.09989,0.184396630107269,0.00012,0.104478555647275
P04844-2,RPN2,0.18529,0.184254432755438,0.19308,0.088412906616039
Q5D862,FILA2,0.35759,0.182666833734413,0.12785,0.135896827963714
Q00610,CLH1,0.27377,0.181159338664179,0.03254,0.0851799520841812
P02647,APOA1,0.00532,0.177773286617202,0.01997,0.0439916338803598
P05556,ITB1,0.17561,0.168485818053052,0.0833,0.0205965057146692
P16070,CD44,0.15533,0.163728962498041,0.07101,0.192813075716098
P46777,RL5,0.004,0.162785787830166,0.00757,0.133627581174686
P06702,S10A9,0.04028,0.162736608980546,0.06506,0.0747211414862332
P18085,ARF4,0.08885,0.153344282645437,0.35442,0.10333970519009
P32119,PRDX2,0.03893,0.149980263833839,0.09091,0.109032338561626
Q15149,PLEC,0.00011,0.143431052815437,0.00553,0.0919604990668043
P13667,PDIA4,0.26798,0.141699337339101,0.84559,0.791616003298393
P31946,1433B,0.11841,0.137571838459773,0.19538,0.210446344413776
Q8NC51,PAIRB,0.17537,0.135236347829562,0.03202,0.131425229545849
P62837,UB2D2,0.0043,0.132260908453112,0.00934,0.115810423119219
P46940,IQGA1,0.18283,0.130700034589391,0.03778,0.162253079984378
P62847,RS24,0.0688,0.127905748375755,0.08914,0.0141918267595305
Q00839,HNRPU,0.04263,0.127644690838348,0.18952,0.141554323530046
P35606,COPB2,0.06848,0.126173740557438,0.00538,0.199501275469034
P62269,RS18,0.18379,0.124277236435862,0.10384,0.559501467665703
P38159-2,RBMX,0.01782,0.121782593579257,0.18812,0.166081481687512
P08133,ANXA6,0.04346,0.118191263103265,0.22255,0.314934693468547
P32969,RL9,0.16926,0.109962522920385,0.85035,0.789631333150529
Q9NZT1,CALL5,0.06032,0.109323292844642,0.09268,0.0734039564588393
Q14974,IMB1,0.0495,0.107350840403937,0.08402,0.0468250734098981
P78371,TCPB,0.03179,0.104443258377319,0.20972,0.0573583582011124
O14880,MGST3,0.22243,0.0979860424121963,0.06373,0.120070701601653
Q14315-2,FLNC,0.15634,0.0965113805859441,0.01634,50.0
P27824,CALX,0.00681,0.0956183083702031,0.00719,0.200362766682283
P25705,ATPA,0.00137,0.0939641015405891,0.24,0.133739935564194
Q99832,TCPH,0.00665,0.0928852727743403,0.45797,0.179215506346714
P17987,TCPA,0.04579,0.09084175028428,0.14526,0.0475054766092619
P61604,CH10,0.01419,0.0905699761072906,0.00088,0.0690663050142374
O60664-3,PLIN3,0.26447,0.0843931924041006,0.00623,0.15469158276598
P22626,ROA2,0.05997,0.0837141997942724,0.00523,0.130580695539449
P31949,S10AB,0.08256,0.0827392465288701,0.28549,0.106174376966682
P30101,PDIA3,0.05373,0.0740916428070171,0.0007,0.104623656208388
P35268,RL22,0.29542,0.0740914370292309,0.00904,0.0643076950379871
Q07065,CKAP4,0.01551,0.0709939836101746,0.02687,0.126609180765439
P20930,FILA,0.13666,0.0693438115406984,0.02147,50.0
P39019,RS19,0.04536,0.0688933503459175,0.00065,0.0808973510287114
P0DP23,CALM1,0.09764,0.0600536164104665,0.07914,0.057473854460558
Q09666,AHNK,0.01796,0.0584400509070989,0.00196,0.141639304533308
P35579,MYH9,0.2039,0.0568139929383955,0.00451,0.257116507969245
